X,Y,OBJECTID,HASTUS,TRANSLINK_ID,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT
503208.1441,6952566.2964,3889,5526,305129,Douglas Rd - 45/46,CRIPPS ST,Douglas Rd,503208.1,6952566.3,-27.550705,153.032495,SALISBURY,2 - Intermediate,Y,Easy,Hard,Medium,2017/06/30 00:00:00+00
503213.166,6952516.0064,3890,5527,305109,Douglas Rd - 46,CRIPPS ST,Ged St,503213.2,6952516,-27.551159,153.032546,SALISBURY,4 - Regular,N,Hard,Easy,Easy,
503190.4235,6952380.9862,3891,5528,305110,Ness Road - 47,CRIPPS ST,Henson Rd,503190.4,6952381,-27.552378,153.032316,SALISBURY,2 - Intermediate,N,Hard,Easy,Easy,
503178.577,6952383.2047,3892,5529,305128,Ness Road - 47,CRIPPS ST,Henson Rd,503178.6,6952383.2,-27.552358,153.032196,SALISBURY,2 - Intermediate,N,Hard,Easy,Easy,
503231.0766,6952671.5198,3893,5530,305108,Russ Hour Park - 45,McCarthy Rd,Winsome Rd,503231.1,6952671.5,-27.549755,153.032727,SALISBURY,2 - Intermediate,Y,Easy,Medium,Easy,
503153.9374,6952162.672,3894,5534,305118,Salisbury Interchange Cripps Street,CRIPPS ST,Lillian Av,503153.9,6952162.7,-27.554349,153.031947,SALISBURY,2 - Intermediate,Y,Easy,Hard,Medium,2017/07/21 00:00:00+00
502782.7418,6952192.891,3895,5536,305121,Tuckett Road ,Lillian Av,Tuckett Rd,502782.7,6952192.9,-27.554077,153.028187,SALISBURY,2 - Intermediate,Y,Easy,Easy,Easy,2018/05/08 00:00:00+00
502784.1271,6952206.8474,3896,5537,305127,Tuckett Road - 49,Lillian Av,Myra Rd,502784.1,6952206.8,-27.553951,153.028201,SALISBURY,4 - Regular,Y,Easy,Easy,Medium,2017/07/21 00:00:00+00
502515.1125,6952252.8744,3897,5538,305126,Kellett Road - 50L,Lillian Av,Kellett Rd,502515.1,6952252.9,-27.553536,153.025476,SALISBURY,4 - Regular,N,Hard,Easy,Easy,
502361.5978,6952265.0895,3898,5539,305123,Salisbury Station Lillian Avenue,Lillian Av,Olivia Av,502361.6,6952265.1,-27.553426,153.023921,SALISBURY,2 - Intermediate,N,Easy,Hard,Hard,
502360.5147,6952279.4896,3899,5540,305125,Salisbury Station Lillian Avenue,Lillian Av,Olivia Av,502360.5,6952279.5,-27.553296,153.02391,SALISBURY,2 - Intermediate,Y,Easy,Hard,Easy,2016/09/21 00:00:00+00
502026.3633,6951881.4493,3900,5541,304994,Marshall Road - 40,BEAUDESERT RD,Marshall Rd,502026.4,6951881.5,-27.55689,153.020526,ROCKLEA,2 - Intermediate,Y,Easy,Easy,Easy,2017/06/06 00:00:00+00
502063.574,6951837.4682,3901,5542,304989,Marshall Road - 40,BEAUDESERT RD,Salisbury St,502063.6,6951837.5,-27.557287,153.020903,ROCKLEA,4 - Regular,Y,Easy,Easy,Medium,2017/09/28 00:00:00+00
501998.2356,6951930.8565,3902,5544,,Marshall Road - 40,BEAUDESERT RD,,501998.2,6951930.9,-27.556444,153.020241,ROCKLEA,5 - District,N,Medium,Easy,Medium,
501753.2111,6951958.4753,3903,5545,303164,Rocklea South Marshall Road,Balham Rd,Short St,501753.2,6951958.5,-27.556195,153.017759,ROCKLEA,2 - Intermediate,Y,Easy,Easy,Easy,2017/07/30 00:00:00+00
501758.2476,6951969.7729,3904,5546,303162,Rocklea South Marshall Road,Balham Rd,Short St,501758.2,6951969.8,-27.556093,153.01781,ROCKLEA,2 - Intermediate,Y,Easy,Easy,Easy,2018/12/11 00:00:00+00
501664.9361,6951831.8798,3905,5548,,Beatty Road - 42,BEATTY RD,,501664.9,6951831.9,-27.557338,153.016865,ROCKLEA,5 - District,N,Hard,Hard,Hard,
502325.4893,6950838.5144,3906,5551,,Meadow Avenue - 43,BEAUDESERT RD,,502325.5,6950838.5,-27.566305,153.023558,ARCHERFIELD,3 - Regular with seat,N,Hard,Easy,Easy,
502289.6059,6951096.1679,3907,5552,304991,Boyland Avenue - 42,BEAUDESERT RD,Boyland Av,502289.6,6951096.2,-27.563979,153.023194,COOPERS PLAINS,4 - Regular,Y,Easy,Easy,Easy,2018/02/01 00:00:00+00
502482.4738,6950015.3647,3908,5554,305460,Beaudesert-Kerry - 52,BEAUDESERT RD,Kerry Rd,502482.5,6950015.4,-27.573736,153.02515,ACACIA RIDGE,3 - Regular with seat,Y,Easy,Medium,Hard,
502514.699,6949763.3602,3909,5555,305461,Beaudesert Road - 53,BEAUDESERT RD,Kerry Rd,502514.7,6949763.4,-27.576011,153.025477,ACACIA RIDGE,2 - Intermediate,Y,Easy,Easy,Easy,2017/07/11 00:00:00+00
502488.44,6949745.7535,3910,5556,305454,Beaudesert Road - 53,BEAUDESERT RD,Acacia Market Place,502488.4,6949745.8,-27.57617,153.025211,ACACIA RIDGE,2 - Intermediate,Y,Easy,Easy,Medium,2017/07/22 00:00:00+00
502459.9601,6949972.8343,3911,5557,305455,Beaudesert-Kerry - 52,BEAUDESERT RD,Kerry St,502460,6949972.8,-27.57412,153.024922,ARCHERFIELD,3 - Regular with seat,Y,Easy,Easy,Medium,
502063.8334,6952204.7749,3912,5558,304988,Salisbury Station Beaudesert Road,BEAUDESERT RD,Lillian Av,502063.8,6952204.8,-27.553971,153.020905,ROCKLEA,2 - Intermediate,N,Medium,Easy,Medium,
